"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1885631986955624712","Sat Feb 01 13:41:56 +0000 2025","0","@infokespro @PTKAI @YLKI Selamat malam Kak. Pemesanan tiket KA Commuter Line Merak tidak terdapat fitur pilih kursi ya. Apabila saat pemesanan tiket KA tersebut dengan keterangan tanpa nomor kursi penumpang dapat menempati bangku yang kosong (selama masih tersedia). Jika ada pelanggan yang duduknya","1885685013230026758","","infokespro","in","Jakarta Pusat","0","0","0","https://x.com/CommuterLine/status/1885685013230026758","341987176","CommuterLine"
"1885631986955624712","Sat Feb 01 10:11:13 +0000 2025","0","Commuterline Merak sejak 1/2/2025 tdk pakai nmr tempat duduk celakanya ada yg memanfaatkan misalnya baringkan anak sehingga tdk bisa buat pemumpamg lain ....@PTKAI @CommuterLine @ylki","1885631986955624712","","","in","DKI Jakarta, Indonesia","0","1","0","https://x.com/infokespro/status/1885631986955624712","98528364","infokespro"
"1885555820563505246","Sat Feb 01 05:08:34 +0000 2025","0","Kereta api Sancaka Utara resmi beroperasi layani rute Surabaya - Cilacap ANTARA FOTO/Didik Suhartono #keretaapi #ptkai #surabayacilacap Lihat selengkapnya: https://t.co/qkPHildm1Z https://t.co/F9Zt3Vfwlm","1885555820563505246","https://pbs.twimg.com/media/GirXBmvbYAMECgW.jpg","","in","NKRI","0","0","1","https://x.com/antaranews/status/1885555820563505246","18071520","antaranews"
"1885366973217071464","Fri Jan 31 16:38:09 +0000 2025","1","PT KAI Daop 6 Yogyakarta mulai besok (Kamis 1/2/2025) memberlakukan Gapeka (Grafik Perjalanan Kereta Api) yang baru. #Gapeka #KeretaKAI #PTKAI #Daop6 #Yogyakarta https://t.co/6eDIHx8BMm","1885366973217071464","","","in","","0","0","0","https://x.com/NusantaraB16913/status/1885366973217071464","1885187110040461312","NusantaraB16913"
"1885307656522654165","Fri Jan 31 12:42:49 +0000 2025","0","Mention cokoncomu seng biasa numpak sepur Cah! #foto ko hene @marmer.official_85 @abdulrosyid_m #KacamataTulungagung #Tulungagung #KeretaApi #KeretaApiIndonesia #KAI #PTKAI #Railfan #Railfans https://t.co/i4SaaOoStH","1885307749338317259","https://pbs.twimg.com/media/Gin1ZsAbIAEVCAI.jpg","kacamata_ta","in","Tulungagung, Indonesia","0","0","0","https://x.com/kacamata_ta/status/1885307749338317259","1009332834681516034","kacamata_ta"
"1884622404145799657","Wed Jan 29 15:19:30 +0000 2025","0","@PSHT_Indonesia ptkai @TheRealYossie https://t.co/yjhkDQwPYz","1884622404145799657","https://pbs.twimg.com/media/GieGFLRbYAAmPfr.jpg","PSHT_Indonesia","in","Jakarta Barat, DKI Jakarta","0","0","0","https://x.com/wkelingB/status/1884622404145799657","1659252316544061441","wkelingB"
"1884468683830931847","Wed Jan 29 05:08:40 +0000 2025","0","https://t.co/1ZSYK03yXC ptkai","1884468683830931847","","","in","Jakarta Barat, DKI Jakarta","0","0","0","https://x.com/wkelingB/status/1884468683830931847","1659252316544061441","wkelingB"
"1884164674595541338","Tue Jan 28 09:00:39 +0000 2025","0","KAI Sampaikan Permohonan Maaf Keterlambatan Dampak Banjir di Daop 4 Semarang #beritanasional #selasa #PTKAI #KAI #permohonanmaaf #banjir #daop4semarang #semarang https://t.co/vip1mhAW8Q","1884164674595541338","https://pbs.twimg.com/ext_tw_video_thumb/1884164412770320384/pu/img/b2O9ezEsOTQYY1Y4.jpg","","in","","0","0","0","https://x.com/NasionalBerita_/status/1884164674595541338","1769451991124832257","NasionalBerita_"
"1884145637295276149","Tue Jan 28 07:45:00 +0000 2025","0","Poin-poin Penting PT KAI soal Kerusakan Rel setelah Banjir di Grobogan #beritanasional #selasa #PTKAI #rel #grobogan #keretaapi #banjir #sungaituntang #kerusakanrel #KAI https://t.co/fD64PftQf4","1884145637295276149","","","in","","0","0","0","https://x.com/NasionalBerita_/status/1884145637295276149","1769451991124832257","NasionalBerita_"
"1884073916815269938","Tue Jan 28 03:00:00 +0000 2025","1","Di balik citra positif Pak Jonan yang tak lekang oleh waktu #jonan #ignasiusjonan #dedimulyadi #ptkai #menhub #prabowo #sulistyowimbohardjito #infografis #politikindonesia #beritapolitik #beritapolitikterkini https://t.co/tYFYmA2k8s","1884073916815269938","https://pbs.twimg.com/media/GiWRktjaYAIrrhU.jpg","","in","Jakarta, Indonesia","0","1","0","https://x.com/pinterpolitik/status/1884073916815269938","798770586784702464","pinterpolitik"
